Country.Name,Series Name,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Control of Corruption: Estimate,-1.291704774,-1.180848122,-1.295379877,-1.263365984,-1.351041913,-1.345281363,-1.443609238,-1.432889819,-1.587331414,-1.638286591,-1.534796,-1.635723472,-1.57917881,-1.41988802,-1.436761141,-1.354784489,-1.341970086,-1.563735127
Afghanistan,Government Effectiveness: Estimate,-2.175166607,-2.135942221,-2.231650829,-1.567973137,-1.082487702,-0.894050717,-1.210829139,-1.430342913,-1.403351665,-1.496088862,-1.483899474,-1.454683423,-1.448487759,-1.360139608,-1.384929776,-1.331395626,-1.322988749,-1.222106338
Afghanistan,Voice and Accountability: Estimate,-1.90854013,-2.039301157,-2.031416893,-1.433421016,-1.177571177,-1.203033924,-1.12542963,-1.110293984,-1.057653904,-1.168901801,-1.375496507,-1.404468179,-1.335976958,-1.267430067,-1.240068316,-1.135444999,-1.117505312,-1.086219549
Albania,Control of Corruption: Estimate,-0.893903494,-1.033112288,-0.857256413,-0.868602037,-0.812275112,-0.699198425,-0.786193073,-0.803845048,-0.687789023,-0.593706608,-0.538495123,-0.525077939,-0.683008373,-0.72650075,-0.698603272,-0.548198819,-0.479021192,-0.397567093
Albania,Government Effectiveness: Estimate,-0.688587904,-0.631392419,-0.755117714,-0.533348322,-0.538209379,-0.415867686,-0.659452379,-0.523602188,-0.406624109,-0.356763661,-0.257898152,-0.282755494,-0.208206981,-0.267799705,-0.316919863,-0.085557945,0.010404494,-0.000573237
Albania,Voice and Accountability: Estimate,-0.648297846,-0.387372851,-0.285138667,-0.008150226,0.070307702,0.007237501,0.003671779,0.075889945,0.113008492,0.174939096,0.141477272,0.123821586,0.062333763,0.022064054,0.048892584,0.143760741,0.157129541,0.159190968
Algeria,Control of Corruption: Estimate,-0.56674093,-0.881779492,-0.937911093,-0.875681102,-0.692261159,-0.67947799,-0.482172012,-0.521335125,-0.559928894,-0.594569385,-0.577883422,-0.524849832,-0.544584811,-0.503217578,-0.473484129,-0.600028992,-0.662879586,-0.691359282
Algeria,Government Effectiveness: Estimate,-1.088766456,-0.829001725,-0.963840961,-0.597519755,-0.612372875,-0.572630763,-0.467567503,-0.472641259,-0.565725446,-0.626526654,-0.582936943,-0.4795416,-0.564615488,-0.532319129,-0.534194887,-0.477552891,-0.500323355,-0.544694543
Algeria,Voice and Accountability: Estimate,-1.166290164,-1.244342446,-1.110052228,-1.044660211,-1.076718092,-0.802059054,-0.715685964,-0.916875541,-0.984122396,-0.979712248,-1.038431048,-1.02233839,-1.004121184,-0.906026602,-0.893353224,-0.815198064,-0.838549674,-0.877241313
American Samoa,Control of Corruption: Estimate,..,..,..,..,..,0.807995975,0.796942115,0.305987746,0.313636512,0.32526949,0.352487057,0.33297351,0.317739636,0.306683242,0.309939086,1.225221634,1.218488932,1.230340838
